horizon,MAE,RMSE,MAPE,samples
1,0.47440821192155397,0.5471407777853837,4.500994814095327,1842
2,0.46803672589610906,0.5916773749349422,4.394230538284688,1842
3,0.5244768189319795,0.7015696445384287,4.91774893856602,1842
4,0.5984417535318968,0.8322144460238804,5.5934503401883315,1842
5,0.6796700141472419,0.9704374542889712,6.318824840539537,1842
6,0.7642656884690855,1.1102998269509838,7.060601654964904,1842
7,0.8500710234987433,1.2482776808727614,7.803854508599767,1842
8,0.9358526123156325,1.3816995175950026,8.543194767258884,1842
9,1.0205355412321302,1.5085206799483404,9.273667051760787,1842
10,1.103129023448075,1.6273177897116702,9.989262648863354,1842
11,1.1824055176462025,1.7369881402825889,10.679501585547767,1842
12,1.2572068940671801,1.8366167040730985,11.33365302498794,1842
13,1.3261827998008409,1.9254107787866737,11.937900772781147,1842
14,1.3882696251348219,2.0027936296979574,12.481188276671032,1842
15,1.4427046041156582,2.068507419701986,12.955565906832897,1842
16,1.489045080736184,2.122746909655953,13.356242591837944,1842
17,1.5272700585962884,2.166209635345165,13.682649774295255,1842
18,1.557774246340975,2.200028004434322,13.938332015799421,1842
19,1.5814224724817694,2.225652384289822,14.13183273479888,1842
20,1.5993656161046261,2.2446641860046137,14.27446035616669,1842
21,1.6128917955319981,2.2585966576008154,14.378781802685117,1842
22,1.6232141909930378,2.2688358955277446,14.456202876056459,1842
23,1.6314004571558436,2.2766019128771804,14.516298806017215,1842
24,1.6383728262491541,2.2829771367767147,14.567028081944658,1842
25,1.6449598691042522,2.2889500311568645,14.615540313550005,1842
26,1.6518611098844351,2.295366022893766,14.667907137745493,1842
27,1.6595799022592261,2.3028950449460455,14.728448834450889,1842
28,1.6684211309424455,2.311989607271247,14.799725213258327,1842
29,1.6785340149367645,2.322870568835797,14.88300730886409,1842
30,1.6899118869557965,2.3355529090820406,14.978154325765036,1842
31,1.702426700605784,2.3498760554849234,15.083958779154472,1842
32,1.7158788731640353,2.3655604513106634,15.198585478791465,1842
33,1.7300150391489575,2.382240646730301,15.319761667762902,1842
34,1.7445662721530515,2.399523375864355,15.445083415507435,1842
35,1.7592652675551341,2.4170210156254934,15.57215118100032,1842
36,1.773850982909902,2.434378146123816,15.698553467638016,1842
37,1.7880928086978505,2.451285954997225,15.822143912404718,1842
38,1.801794759518624,2.467492032958755,15.941086981047581,1842
39,1.8148091954952719,2.482812580540913,16.05399233964108,1842
40,1.8270415301956318,2.497135562381092,16.159967024569973,1842
41,1.838456102801999,2.510418583501164,16.258688407202165,1842
42,1.8490683106968588,2.522678659708313,16.350326923342152,1842
43,1.8589280436537157,2.533978767707609,16.435362950407143,1842
44,1.8681044912011018,2.544414054655376,16.514421540873776,1842
45,1.8766857359602307,2.554099016330849,16.588300926568728,1842
46,1.8847657714331565,2.5631577617294274,16.657834223305002,1842
47,1.892440758562835,2.571716887794818,16.723868563204743,1842
48,1.899807711615504,2.579900792248708,16.787267007876235,1842
49,1.9069572876155778,2.5878276771326116,16.848836844096407,1842
50,1.9139660626188923,2.59559966364476,16.909254855357194,1842
51,1.9208946046917115,2.603297436850365,16.96906550718012,1842
52,1.9277831312402296,2.610974861812367,17.028634887582804,1842
53,1.9346517476567555,2.618660509159361,17.08813331404471,1842
54,1.9415031060050276,2.62635953435824,17.147574934615818,1842
55,1.9483283866949097,2.6340590168909768,17.206874491647163,1842
56,1.9551089139933209,2.6417319095666434,17.265860570097015,1842
57,1.9618264257669351,2.64934664944599,17.32436562706032,1842
58,1.9684549317937179,2.6568653785327423,17.38215210825209,1842
59,1.9749649863802967,2.6642490060942823,17.43894861959862,1842
60,1.9813296414918093,2.671461322326544,17.494507485221195,1842
61,1.9875254731785128,2.6784706907190303,17.54861432333798,1842
62,1.9935343275664903,2.685252360223319,17.601101281650347,1842
63,1.9993429770500206,2.6917893556538997,17.651842503796512,1842
64,2.004944494793273,2.698072984037568,17.70077100390906,1842
65,2.0103393101321134,2.7041028581524387,17.747891626703925,1842
66,2.015529742142618,2.7098858876518097,17.793213817645334,1842
67,2.0205205711822765,2.7154341873701244,17.83676724228503,1842
68,2.0253193580537863,2.720761697901785,17.878620336480598,1842
69,2.0299275870684794,2.7258733961214894,17.91881492480815,1842
70,2.0343499458127683,2.7307699973554165,17.957438043153964,1842
71,2.0386009017858475,2.735466740640086,17.994632651182616,1842
72,2.0426996053425968,2.7399890719337665,18.030559784400012,1842
73,2.046669684195355,2.744363049306524,18.065432974129283,1842
74,2.0505323486921276,2.7486098180305567,18.099445837394132,1842
75,2.0543102779874776,2.7527543971960147,18.13278165339492,1842
76,2.0580220575460597,2.756822321827201,18.165569038836647,1842
77,2.0616776896901787,2.7608290668977253,18.197872295755463,1842
78,2.0652849680494394,2.764787151218411,18.229734680250797,1842
79,2.068848213123806,2.768702697881399,18.261176582311606,1842
80,2.0723655798102936,2.772572464164152,18.292181049681187,1842
81,2.075836346521259,2.7763941426985093,18.32273757597485,1842
82,2.079254639813401,2.780156256359737,18.35281131093496,1842
83,2.0826212322127042,2.783857860061381,18.382403842525054,1842
84,2.085930694787809,2.7874888563258002,18.411485071521973,1842
85,2.0891792982719983,2.7910425729712895,18.440034246547192,1842
86,2.092366922828882,2.7945175296213494,18.46805166209445,1842
87,2.0954910234917543,2.797910463138843,18.49552080329855,1842
88,2.0985479904160016,2.8012186002303467,18.522413950241038,1842
89,2.1015353901497553,2.8044418381102405,18.548706754253182,1842
90,2.1044526005908395,2.8075821838398713,18.574388089408515,1842
91,2.1072969567320725,2.8106423652093513,18.59941910318194,1842
92,2.1100654066964277,2.813623675078885,18.62376787674702,1842
93,2.1127500231070875,2.8165194910122793,18.647382665106466,1842
94,2.1153457507585016,2.8193204372691003,18.670249516170607,1842
95,2.1178551048455008,2.8220279351061994,18.69239853563512,1842
96,2.1202837897670497,2.8246487577764245,18.71387767029922,1842
97,2.122639464579318,2.827188662392631,18.734762575309876,1842
98,2.124931664406183,2.8296554612018205,18.75513864501863,1842
99,2.127172778929623,2.8320616267162655,18.77509977509704,1842
100,2.129371474815535,2.8344187668262264,18.794701424915672,1842
101,2.1315321682721065,2.8367334936187936,18.813970515853132,1842
102,2.1336593070894,2.839012851481136,18.832931900536344,1842
103,2.135757991048114,2.841263842665525,18.851615493939853,1842
104,2.1378300191873496,2.8434879975350746,18.87003434449798,1842
105,2.1398766015542647,2.8456856002028035,18.888199348865168,1842
106,2.1418991925042397,2.8478571718976555,18.906123460215902,1842
107,2.143899274982739,2.8500017097198516,18.923826192400057,1842
108,2.145875335892689,2.852114983323227,18.94130834496279,1842
109,2.1478270394031007,2.854194798681639,18.95857740998678,1842
110,2.149755218862786,2.856241328315408,18.97564360663491,1842
111,2.151659782913702,2.8582539631390067,18.992510759395977,1842
112,2.1535374938945377,2.8602304864783346,19.00915387199755,1842
113,2.1553864295264,2.862170648232022,19.025553074547297,1842
114,2.157204892486616,2.8640744897280714,19.041691111003917,1842
115,2.158989965355237,2.8659427083056026,19.057530339616445,1842
116,2.1607366090978,2.867774655825312,19.073016097946102,1842
117,2.1624382087679166,2.8695651305457712,19.088099600810835,1842
118,2.1640895386840544,2.8713061814147594,19.102756862815557,1842
119,2.165690109273697,2.8729954205750556,19.11699397307873,1842
120,2.167241733631707,2.8746347162701995,19.130826797764527,1842
121,2.1687478689403643,2.876227272710582,19.1442851367103,1842
122,2.17021539388586,2.877777710524362,19.15743220542981,1842
123,2.171654006402996,2.8792949947953024,19.170340849853925,1842
124,2.173070658106474,2.8807885007463265,19.183052676215617,1842
125,2.174469910924533,2.8822651897706666,19.195593010111757,1842
126,2.1758550972075636,2.8837297203025445,19.20798161107587,1842
127,2.177228937159032,2.885184709391512,19.22023798771221,1842
128,2.1785924714173945,2.8866299654297842,19.23237375333239,1842
129,2.1799472853154627,2.888066812498522,19.244401591612114,1842
130,2.181295154348343,2.8894960166039785,19.256338430090622,1842
131,2.182635377928678,2.8909147220432896,19.268188070066884,1842
132,2.1839675491032517,2.892319526142655,19.279962096319263,1842
133,2.185290163205448,2.89370762496802,19.29165809781075,1842
134,2.186603324286787,2.895078935634245,19.30327892392715,1842
135,2.1879057096451406,2.8964332892402433,19.31480873329392,1842
136,2.1891941084548336,2.8977686881554217,19.32622051790571,1842
137,2.190466597986994,2.8990844274227867,19.337496917205854,1842
138,2.1917214917021384,2.900380351857338,19.348620479116708,1842
139,2.192957102302009,2.9016567951579875,19.35956934395346,1842
140,2.1941704019281105,2.9029129694177858,19.370313817948777,1842
141,2.1953554715405432,2.9041437986738705,19.380812641530643,1842
142,2.1965078884636955,2.9053422168361296,19.391048151640117,1842
143,2.197626898923922,2.9065063396866724,19.40101997930418,1842
144,2.1987131048873314,2.9076379312922875,19.410725712610606,1842
145,2.1997666334114894,2.9087377837808437,19.420161851709715,1842
146,2.2007916585187712,2.909807173750015,19.42937341659948,1842
147,2.201793406942716,2.9108487496773954,19.43840737531704,1842
148,2.202777037634463,2.911868572976199,19.44729677800634,1842
149,2.203744569649314,2.9128694770624795,19.456053497925524,1842
150,2.204698018353374,2.9138547099983447,19.46468830579686,1842
151,2.205639911230946,2.914828121455413,19.4732150148337,1842
152,2.2065722520394098,2.9157922582999314,19.481646004686347,1842
153,2.207496738777699,2.9167490221420316,19.489992631620343,1842
154,2.2084150601058408,2.9177000213073545,19.49826717211953,1842
155,2.2093277834431766,2.918644842847399,19.506477440900234,1842
156,2.2102352006226162,2.9195822541631844,19.514632256898988,1842
157,2.2111365774911005,2.920510878479184,19.522730269801063,1842
158,2.212032517575949,2.9214309277966612,19.530778173560773,1842
159,2.212922993372057,2.922342071300913,19.538778106573744,1842
160,2.213805810758892,2.9232427392611036,19.546713238119093,1842
161,2.2146797437916743,2.9241324227947922,19.55457248744235,1842
162,2.2155423943643653,2.9250107376052905,19.562329143761644,1842
163,2.21639089269888,2.925877333161121,19.569950074211366,1842
164,2.2172229988035754,2.9267306928822534,19.577418954782747,1842
165,2.218033420217744,2.927565024424177,19.58470333418017,1842
166,2.2188177589221496,2.9283719033290714,19.59178953031084,1842
167,2.219575357910762,2.929149074922318,19.59867974997122,1842
168,2.220307108735762,2.9298980070120626,19.60537871359459,1842
169,2.221011479447399,2.930618819238864,19.611862124299098,1842
170,2.2216920371545963,2.931313857332714,19.618164124170153,1842
171,2.222353157040875,2.9319857501580833,19.624323948321205,1842
172,2.222999064264091,2.9326386277179672,19.63037167994824,1842
173,2.2236311300554017,2.9332737137900167,19.636317202641667,1842
