DATE,PRICE_AREA,PRODUCTION_GROUP,METERINGPOINT_TYPE,INSTALLED_CAPACITY
2021-01-03,NO3,Wind unspecified,Combined,250.000
2021-01-03,NO3,Wind unspecified,Production,2425045.000
2021-01-03,NO4,Hydro unspecified,Combined,273.000
2021-01-03,NO4,Hydro unspecified,Production,5527250.000
2021-01-03,NO4,Other unspecified,Combined,659.000
2021-01-03,NO4,Other unspecified,Production,5450.000
2021-01-03,NO4,Solar unspecified,Combined,1077.000
2021-01-03,NO4,Thermal unspecified,Production,305099.000
2021-01-03,NO4,Wind unspecified,Production,637400.000
2021-01-03,NO5,Hydro unspecified,Combined,130.000
2021-01-03,NO5,Hydro unspecified,Production,8387000.000
2021-01-03,NO5,Other unspecified,Combined,0.000
2021-01-03,NO5,Solar unspecified,Combined,6624.000
2021-01-03,NO5,Thermal unspecified,Production,297000.000
2021-01-04,NO1,Hydro unspecified,Combined,404.000
2021-01-04,NO1,Hydro unspecified,Production,18900632.000
2021-01-04,NO1,Other unspecified,Combined,16.000
2021-01-04,NO1,Other unspecified,Production,850.000
2021-01-04,NO1,Solar unspecified,Combined,51417.000
2021-01-04,NO1,Solar unspecified,Production,2198.000
2021-01-04,NO1,Thermal unspecified,Production,66980.000
2021-01-04,NO1,Wind unspecified,Production,172000.000
2021-01-04,NO2,Hydro unspecified,Combined,723.000
2021-01-04,NO2,Hydro unspecified,Production,12482091.000
2021-01-04,NO2,Other unspecified,Combined,874.000
2021-01-04,NO2,Other unspecified,Production,3300.000
2021-01-04,NO2,Solar unspecified,Combined,26884.000
2021-01-04,NO2,Solar unspecified,Production,2139.000
2021-01-04,NO2,Thermal unspecified,Combined,9.000
2021-01-04,NO2,Thermal unspecified,Production,71760.000
2021-01-04,NO2,Wind unspecified,Combined,46.000
2021-01-04,NO2,Wind unspecified,Production,1119574.000
2021-01-04,NO3,Hydro unspecified,Combined,526.000
2021-01-04,NO3,Hydro unspecified,Production,4901728.000
2021-01-04,NO3,Other unspecified,Combined,171.000
2021-01-04,NO3,Solar unspecified,Combined,12863.000
2021-01-04,NO3,Solar unspecified,Production,500.000
2021-01-04,NO3,Thermal unspecified,Production,199300.000
2021-01-04,NO3,Wind unspecified,Combined,250.000
2021-01-04,NO3,Wind unspecified,Production,2425045.000
2021-01-04,NO4,Hydro unspecified,Combined,273.000
2021-01-04,NO4,Hydro unspecified,Production,5527250.000
2021-01-04,NO4,Other unspecified,Combined,659.000
2021-01-04,NO4,Other unspecified,Production,5450.000
2021-01-04,NO4,Solar unspecified,Combined,1077.000
2021-01-04,NO4,Thermal unspecified,Production,305099.000
2021-01-04,NO4,Wind unspecified,Production,637400.000
2021-01-04,NO5,Hydro unspecified,Combined,130.000
2021-01-04,NO5,Hydro unspecified,Production,8387000.000
2021-01-04,NO5,Other unspecified,Combined,0.000
2021-01-04,NO5,Solar unspecified,Combined,6624.000
2021-01-04,NO5,Thermal unspecified,Production,297000.000
2021-01-05,NO1,Hydro unspecified,Combined,404.000
2021-01-05,NO1,Hydro unspecified,Production,18900632.000
2021-01-05,NO1,Other unspecified,Combined,16.000
2021-01-05,NO1,Other unspecified,Production,850.000
2021-01-05,NO1,Solar unspecified,Combined,51456.000
2021-01-05,NO1,Solar unspecified,Production,2198.000
2021-01-05,NO1,Thermal unspecified,Production,66980.000
2021-01-05,NO1,Wind unspecified,Production,172000.000
2021-01-05,NO2,Hydro unspecified,Combined,723.000
2021-01-05,NO2,Hydro unspecified,Production,12482091.000
2021-01-05,NO2,Other unspecified,Combined,874.000
2021-01-05,NO2,Other unspecified,Production,3300.000
2021-01-05,NO2,Solar unspecified,Combined,26898.000
2021-01-05,NO2,Solar unspecified,Production,2139.000
2021-01-05,NO2,Thermal unspecified,Combined,9.000
2021-01-05,NO2,Thermal unspecified,Production,71760.000
2021-01-05,NO2,Wind unspecified,Combined,46.000
2021-01-05,NO2,Wind unspecified,Production,1119574.000
2021-01-05,NO3,Hydro unspecified,Combined,526.000
2021-01-05,NO3,Hydro unspecified,Production,4901728.000
2021-01-05,NO3,Other unspecified,Combined,171.000
2021-01-05,NO3,Solar unspecified,Combined,12863.000
2021-01-05,NO3,Solar unspecified,Production,500.000
2021-01-05,NO3,Thermal unspecified,Production,199300.000
2021-01-05,NO3,Wind unspecified,Combined,250.000
2021-01-05,NO3,Wind unspecified,Production,2425045.000
2021-01-05,NO4,Hydro unspecified,Combined,273.000
2021-01-05,NO4,Hydro unspecified,Production,5527250.000
2021-01-05,NO4,Other unspecified,Combined,659.000
2021-01-05,NO4,Other unspecified,Production,5450.000
2021-01-05,NO4,Solar unspecified,Combined,1077.000
2021-01-05,NO4,Thermal unspecified,Production,305099.000
2021-01-05,NO4,Wind unspecified,Production,637400.000
2021-01-05,NO5,Hydro unspecified,Combined,130.000
2021-01-05,NO5,Hydro unspecified,Production,8411000.000
2021-01-05,NO5,Other unspecified,Combined,0.000
2021-01-05,NO5,Solar unspecified,Combined,6624.000
2021-01-05,NO5,Thermal unspecified,Production,297000.000
2021-01-06,NO1,Hydro unspecified,Combined,404.000
2021-01-06,NO1,Hydro unspecified,Production,18900632.000
2021-01-06,NO1,Other unspecified,Combined,16.000
2021-01-06,NO1,Other unspecified,Production,850.000
2021-01-06,NO1,Solar unspecified,Combined,51522.000
2021-01-06,NO1,Solar unspecified,Production,2198.000
2021-01-06,NO1,Thermal unspecified,Production,66980.000
2021-01-06,NO1,Wind unspecified,Production,172000.000
2021-01-06,NO2,Hydro unspecified,Combined,723.000
2021-01-06,NO2,Hydro unspecified,Production,12482091.000
2021-01-06,NO2,Other unspecified,Combined,874.000
2021-01-06,NO2,Other unspecified,Production,3300.000
2021-01-06,NO2,Solar unspecified,Combined,26918.000
2021-01-06,NO2,Solar unspecified,Production,2139.000
2021-01-06,NO2,Thermal unspecified,Combined,9.000
2021-01-06,NO2,Thermal unspecified,Production,71760.000
2021-01-06,NO2,Wind unspecified,Combined,46.000
2021-01-06,NO2,Wind unspecified,Production,1119574.000
2021-01-06,NO3,Hydro unspecified,Combined,526.000
2021-01-06,NO3,Hydro unspecified,Production,4901728.000
2021-01-06,NO3,Other unspecified,Combined,171.000
2021-01-06,NO3,Solar unspecified,Combined,12863.000
2021-01-06,NO3,Solar unspecified,Production,500.000
2021-01-06,NO3,Thermal unspecified,Production,199300.000
2021-01-06,NO3,Wind unspecified,Combined,250.000
2021-01-06,NO3,Wind unspecified,Production,2425045.000
2021-01-06,NO4,Hydro unspecified,Combined,273.000
2021-01-06,NO4,Hydro unspecified,Production,5527250.000
2021-01-06,NO4,Other unspecified,Combined,659.000
2021-01-06,NO4,Other unspecified,Production,5450.000
2021-01-06,NO4,Solar unspecified,Combined,1077.000
2021-01-06,NO4,Thermal unspecified,Production,305099.000
2021-01-06,NO4,Wind unspecified,Production,637400.000
2021-01-06,NO5,Hydro unspecified,Combined,130.000
2021-01-06,NO5,Hydro unspecified,Production,8411000.000
2021-01-06,NO5,Other unspecified,Combined,0.000
2021-01-06,NO5,Solar unspecified,Combined,6624.000
2021-01-06,NO5,Thermal unspecified,Production,297000.000
2021-01-07,NO1,Hydro unspecified,Combined,404.000
2021-01-07,NO1,Hydro unspecified,Production,18900632.000
2021-01-07,NO1,Other unspecified,Combined,16.000
2021-01-07,NO1,Other unspecified,Production,850.000
2021-01-07,NO1,Solar unspecified,Combined,51560.000
2021-01-07,NO1,Solar unspecified,Production,2198.000
2021-01-07,NO1,Thermal unspecified,Production,66980.000
2021-01-07,NO1,Wind unspecified,Production,172000.000
2021-01-07,NO2,Hydro unspecified,Combined,723.000
2021-01-07,NO2,Hydro unspecified,Production,12482091.000
2021-01-07,NO2,Other unspecified,Combined,874.000
2021-01-07,NO2,Other unspecified,Production,3300.000
2021-01-07,NO2,Solar unspecified,Combined,26918.000
2021-01-07,NO2,Solar unspecified,Production,2139.000
2021-01-07,NO2,Thermal unspecified,Combined,9.000
2021-01-07,NO2,Thermal unspecified,Production,71760.000
2021-01-07,NO2,Wind unspecified,Combined,46.000
2021-01-07,NO2,Wind unspecified,Production,1119574.000
2021-01-07,NO3,Hydro unspecified,Combined,526.000
2021-01-07,NO3,Hydro unspecified,Production,4901728.000
2021-01-07,NO3,Other unspecified,Combined,171.000
2021-01-07,NO3,Solar unspecified,Combined,12869.000
2021-01-07,NO3,Solar unspecified,Production,500.000
2021-01-07,NO3,Thermal unspecified,Production,199300.000
2021-01-07,NO3,Wind unspecified,Combined,250.000
2021-01-07,NO3,Wind unspecified,Production,2425045.000
2021-01-07,NO4,Hydro unspecified,Combined,273.000
2021-01-07,NO4,Hydro unspecified,Production,5527250.000
2021-01-07,NO4,Other unspecified,Combined,659.000
2021-01-07,NO4,Other unspecified,Production,5450.000
2021-01-07,NO4,Solar unspecified,Combined,1077.000
2021-01-07,NO4,Thermal unspecified,Production,305099.000
2021-01-07,NO4,Wind unspecified,Production,637400.000
2021-01-07,NO5,Hydro unspecified,Combined,130.000
2021-01-07,NO5,Hydro unspecified,Production,8411000.000
2021-01-07,NO5,Other unspecified,Combined,0.000
2021-01-07,NO5,Solar unspecified,Combined,6624.000
2021-01-07,NO5,Thermal unspecified,Production,297000.000
2021-01-08,NO1,Hydro unspecified,Combined,404.000
2021-01-08,NO1,Hydro unspecified,Production,18900632.000
2021-01-08,NO1,Other unspecified,Combined,16.000
2021-01-08,NO1,Other unspecified,Production,850.000
2021-01-08,NO1,Solar unspecified,Combined,51573.000
2021-01-08,NO1,Solar unspecified,Production,2198.000
2021-01-08,NO1,Thermal unspecified,Production,66980.000
2021-01-08,NO1,Wind unspecified,Production,172000.000
2021-01-08,NO2,Hydro unspecified,Combined,723.000
2021-01-08,NO2,Hydro unspecified,Production,12482091.000
2021-01-08,NO2,Other unspecified,Combined,874.000
2021-01-08,NO2,Other unspecified,Production,3300.000
2021-01-08,NO2,Solar unspecified,Combined,26928.000
2021-01-08,NO2,Solar unspecified,Production,2139.000
2021-01-08,NO2,Thermal unspecified,Combined,9.000
2021-01-08,NO2,Thermal unspecified,Production,71760.000
2021-01-08,NO2,Wind unspecified,Combined,46.000
2021-01-08,NO2,Wind unspecified,Production,1119574.000
2021-01-08,NO3,Hydro unspecified,Combined,526.000
2021-01-08,NO3,Hydro unspecified,Production,4901728.000
2021-01-08,NO3,Other unspecified,Combined,171.000
2021-01-08,NO3,Solar unspecified,Combined,12869.000
2021-01-08,NO3,Solar unspecified,Production,500.000
2021-01-08,NO3,Thermal unspecified,Production,199300.000
2021-01-08,NO3,Wind unspecified,Combined,250.000
2021-01-08,NO3,Wind unspecified,Production,2425045.000
2021-01-08,NO4,Hydro unspecified,Combined,273.000
2021-01-08,NO4,Hydro unspecified,Production,5535250.000
2021-01-08,NO4,Other unspecified,Combined,659.000
2021-01-08,NO4,Other unspecified,Production,5450.000
2021-01-08,NO4,Solar unspecified,Combined,1077.000
2021-01-08,NO4,Thermal unspecified,Production,305099.000
2021-01-08,NO4,Wind unspecified,Production,637400.000
2021-01-08,NO5,Hydro unspecified,Combined,130.000
2021-01-08,NO5,Hydro unspecified,Production,8411000.000
2021-01-08,NO5,Other unspecified,Combined,0.000
2021-01-08,NO5,Solar unspecified,Combined,6624.000
2021-01-08,NO5,Thermal unspecified,Production,297000.000
2021-01-09,NO1,Hydro unspecified,Combined,404.000
2021-01-09,NO1,Hydro unspecified,Production,18900632.000
2021-01-09,NO1,Other unspecified,Combined,16.000
2021-01-09,NO1,Other unspecified,Production,850.000
2021-01-09,NO1,Solar unspecified,Combined,51573.000
2021-01-09,NO1,Solar unspecified,Production,2198.000
2021-01-09,NO1,Thermal unspecified,Production,66980.000
2021-01-09,NO1,Wind unspecified,Production,172000.000
2021-01-09,NO2,Hydro unspecified,Combined,723.000
2021-01-09,NO2,Hydro unspecified,Production,12482091.000
2021-01-09,NO2,Other unspecified,Combined,874.000
2021-01-09,NO2,Other unspecified,Production,3300.000
2021-01-09,NO2,Solar unspecified,Combined,26928.000
2021-01-09,NO2,Solar unspecified,Production,2139.000
2021-01-09,NO2,Thermal unspecified,Combined,9.000
2021-01-09,NO2,Thermal unspecified,Production,71760.000
2021-01-09,NO2,Wind unspecified,Combined,46.000
2021-01-09,NO2,Wind unspecified,Production,1119574.000
2021-01-09,NO3,Hydro unspecified,Combined,526.000
2021-01-09,NO3,Hydro unspecified,Production,4901728.000
2021-01-09,NO3,Other unspecified,Combined,171.000
2021-01-09,NO3,Solar unspecified,Combined,12869.000
2021-01-09,NO3,Solar unspecified,Production,500.000
2021-01-09,NO3,Thermal unspecified,Production,199300.000
2021-01-09,NO3,Wind unspecified,Combined,250.000
2021-01-09,NO3,Wind unspecified,Production,2425045.000
2021-01-09,NO4,Hydro unspecified,Combined,273.000
2021-01-09,NO4,Hydro unspecified,Production,5535250.000
2021-01-09,NO4,Other unspecified,Combined,659.000
2021-01-09,NO4,Other unspecified,Production,5450.000
2021-01-09,NO4,Solar unspecified,Combined,1077.000
2021-01-09,NO4,Thermal unspecified,Production,305099.000
2021-01-09,NO4,Wind unspecified,Production,637400.000
2021-01-09,NO5,Hydro unspecified,Combined,130.000
2021-01-09,NO5,Hydro unspecified,Production,8411000.000
2021-01-09,NO5,Other unspecified,Combined,0.000
2021-01-09,NO5,Solar unspecified,Combined,6624.000
2021-01-09,NO5,Thermal unspecified,Production,297000.000
2021-01-10,NO1,Hydro unspecified,Combined,404.000
2021-01-10,NO1,Hydro unspecified,Production,18900632.000
2021-01-10,NO1,Other unspecified,Combined,16.000
2021-01-10,NO1,Other unspecified,Production,850.000
2021-01-10,NO1,Solar unspecified,Combined,51573.000
2021-01-10,NO1,Solar unspecified,Production,2198.000
2021-01-10,NO1,Thermal unspecified,Production,66980.000
2021-01-10,NO1,Wind unspecified,Production,172000.000
2021-01-10,NO2,Hydro unspecified,Combined,723.000
2021-01-10,NO2,Hydro unspecified,Production,12482091.000
2021-01-10,NO2,Other unspecified,Combined,874.000
2021-01-10,NO2,Other unspecified,Production,3300.000
2021-01-10,NO2,Solar unspecified,Combined,26928.000
2021-01-10,NO2,Solar unspecified,Production,2139.000
2021-01-10,NO2,Thermal unspecified,Combined,9.000
2021-01-10,NO2,Thermal unspecified,Production,71760.000
2021-01-10,NO2,Wind unspecified,Combined,46.000
2021-01-10,NO2,Wind unspecified,Production,1119574.000
2021-01-10,NO3,Hydro unspecified,Combined,526.000
2021-01-10,NO3,Hydro unspecified,Production,4901728.000
2021-01-10,NO3,Other unspecified,Combined,171.000
2021-01-10,NO3,Solar unspecified,Combined,12869.000
2021-01-10,NO3,Solar unspecified,Production,500.000
2021-01-10,NO3,Thermal unspecified,Production,199300.000
2021-01-10,NO3,Wind unspecified,Combined,250.000
2021-01-10,NO3,Wind unspecified,Production,2425045.000
2021-01-10,NO4,Hydro unspecified,Combined,273.000
2021-01-10,NO4,Hydro unspecified,Production,5535250.000
2021-01-10,NO4,Other unspecified,Combined,659.000
2021-01-10,NO4,Other unspecified,Production,5450.000
2021-01-10,NO4,Solar unspecified,Combined,1077.000
2021-01-10,NO4,Thermal unspecified,Production,305099.000
2021-01-10,NO4,Wind unspecified,Production,637400.000
2021-01-10,NO5,Hydro unspecified,Combined,130.000
2021-01-10,NO5,Hydro unspecified,Production,8411000.000
2021-01-10,NO5,Other unspecified,Combined,0.000
2021-01-10,NO5,Solar unspecified,Combined,6624.000
2021-01-10,NO5,Thermal unspecified,Production,297000.000
2021-01-11,NO1,Hydro unspecified,Combined,404.000
2021-01-11,NO1,Hydro unspecified,Production,18900632.000
2021-01-11,NO1,Other unspecified,Combined,16.000
2021-01-11,NO1,Other unspecified,Production,850.000
2021-01-11,NO1,Solar unspecified,Combined,51573.000
2021-01-11,NO1,Solar unspecified,Production,2198.000
2021-01-11,NO1,Thermal unspecified,Production,66980.000
2021-01-11,NO1,Wind unspecified,Production,172000.000
2021-01-11,NO2,Hydro unspecified,Combined,723.000
2021-01-11,NO2,Hydro unspecified,Production,12482091.000
2021-01-11,NO2,Other unspecified,Combined,879.000
2021-01-11,NO2,Other unspecified,Production,3300.000
2021-01-11,NO2,Solar unspecified,Combined,26933.000
2021-01-11,NO2,Solar unspecified,Production,2139.000
2021-01-11,NO2,Thermal unspecified,Combined,9.000
2021-01-11,NO2,Thermal unspecified,Production,71760.000
2021-01-11,NO2,Wind unspecified,Combined,46.000
2021-01-11,NO2,Wind unspecified,Production,1119574.000
2021-01-11,NO3,Hydro unspecified,Combined,526.000
2021-01-11,NO3,Hydro unspecified,Production,4901728.000
2021-01-11,NO3,Other unspecified,Combined,171.000
2021-01-11,NO3,Solar unspecified,Combined,12869.000
2021-01-11,NO3,Solar unspecified,Production,500.000
2021-01-11,NO3,Thermal unspecified,Production,199300.000
2021-01-11,NO3,Wind unspecified,Combined,250.000
2021-01-11,NO3,Wind unspecified,Production,2425045.000
2021-01-11,NO4,Hydro unspecified,Combined,273.000
2021-01-11,NO4,Hydro unspecified,Production,5540950.000
2021-01-11,NO4,Other unspecified,Combined,659.000
2021-01-11,NO4,Other unspecified,Production,5450.000
2021-01-11,NO4,Solar unspecified,Combined,1077.000
2021-01-11,NO4,Thermal unspecified,Production,305099.000
2021-01-11,NO4,Wind unspecified,Production,637400.000
2021-01-11,NO5,Hydro unspecified,Combined,130.000
2021-01-11,NO5,Hydro unspecified,Production,8411000.000
2021-01-11,NO5,Other unspecified,Combined,0.000
2021-01-11,NO5,Solar unspecified,Combined,6624.000
2021-01-11,NO5,Thermal unspecified,Production,297000.000
2021-01-12,NO1,Hydro unspecified,Combined,404.000
2021-01-12,NO1,Hydro unspecified,Production,18900632.000
2021-01-12,NO1,Other unspecified,Combined,16.000
2021-01-12,NO1,Other unspecified,Production,850.000
2021-01-12,NO1,Solar unspecified,Combined,51649.000
2021-01-12,NO1,Solar unspecified,Production,2198.000
2021-01-12,NO1,Thermal unspecified,Production,66980.000
2021-01-12,NO1,Wind unspecified,Production,172000.000
2021-01-12,NO2,Hydro unspecified,Combined,723.000
2021-01-12,NO2,Hydro unspecified,Production,12482091.000
2021-01-12,NO2,Other unspecified,Combined,879.000
2021-01-12,NO2,Other unspecified,Production,3300.000
2021-01-12,NO2,Solar unspecified,Combined,26938.000
2021-01-12,NO2,Solar unspecified,Production,2139.000
2021-01-12,NO2,Thermal unspecified,Combined,9.000
2021-01-12,NO2,Thermal unspecified,Production,71760.000
2021-01-12,NO2,Wind unspecified,Combined,46.000
2021-01-12,NO2,Wind unspecified,Production,1119574.000
2021-01-12,NO3,Hydro unspecified,Combined,526.000
2021-01-12,NO3,Hydro unspecified,Production,4901728.000
2021-01-12,NO3,Other unspecified,Combined,171.000
2021-01-12,NO3,Solar unspecified,Combined,12974.000
2021-01-12,NO3,Solar unspecified,Production,500.000
2021-01-12,NO3,Thermal unspecified,Production,199300.000
2021-01-12,NO3,Wind unspecified,Combined,250.000
2021-01-12,NO3,Wind unspecified,Production,2425045.000
2021-01-12,NO4,Hydro unspecified,Combined,273.000
2021-01-12,NO4,Hydro unspecified,Production,5540950.000
2021-01-12,NO4,Other unspecified,Combined,659.000
2021-01-12,NO4,Other unspecified,Production,5450.000
2021-01-12,NO4,Solar unspecified,Combined,1077.000
2021-01-12,NO4,Thermal unspecified,Production,305099.000
2021-01-12,NO4,Wind unspecified,Production,637400.000
2021-01-12,NO5,Hydro unspecified,Combined,130.000
2021-01-12,NO5,Hydro unspecified,Production,8411000.000
2021-01-12,NO5,Other unspecified,Combined,0.000
2021-01-12,NO5,Solar unspecified,Combined,6624.000
2021-01-12,NO5,Thermal unspecified,Production,297000.000
2021-01-13,NO1,Hydro unspecified,Combined,404.000
2021-01-13,NO1,Hydro unspecified,Production,18900632.000
2021-01-13,NO1,Other unspecified,Combined,16.000
2021-01-13,NO1,Other unspecified,Production,850.000
2021-01-13,NO1,Solar unspecified,Combined,51664.000
2021-01-13,NO1,Solar unspecified,Production,2198.000
2021-01-13,NO1,Thermal unspecified,Production,66980.000
2021-01-13,NO1,Wind unspecified,Production,172000.000
2021-01-13,NO2,Hydro unspecified,Combined,723.000
2021-01-13,NO2,Hydro unspecified,Production,12482091.000
2021-01-13,NO2,Other unspecified,Combined,879.000
2021-01-13,NO2,Other unspecified,Production,3300.000
2021-01-13,NO2,Solar unspecified,Combined,27052.000
2021-01-13,NO2,Solar unspecified,Production,2139.000
2021-01-13,NO2,Thermal unspecified,Combined,9.000
2021-01-13,NO2,Thermal unspecified,Production,71760.000
2021-01-13,NO2,Wind unspecified,Combined,46.000
2021-01-13,NO2,Wind unspecified,Production,1119574.000
2021-01-13,NO3,Hydro unspecified,Combined,526.000
2021-01-13,NO3,Hydro unspecified,Production,4918728.000
2021-01-13,NO3,Other unspecified,Combined,171.000
2021-01-13,NO3,Solar unspecified,Combined,12974.000
2021-01-13,NO3,Solar unspecified,Production,500.000
2021-01-13,NO3,Thermal unspecified,Production,199300.000
2021-01-13,NO3,Wind unspecified,Combined,250.000
2021-01-13,NO3,Wind unspecified,Production,2425045.000
2021-01-13,NO4,Hydro unspecified,Combined,273.000
2021-01-13,NO4,Hydro unspecified,Production,5548870.000
2021-01-13,NO4,Other unspecified,Combined,659.000
2021-01-13,NO4,Other unspecified,Production,5450.000
2021-01-13,NO4,Solar unspecified,Combined,1077.000
2021-01-13,NO4,Thermal unspecified,Production,305099.000
2021-01-13,NO4,Wind unspecified,Production,637400.000
2021-01-13,NO5,Hydro unspecified,Combined,130.000
2021-01-13,NO5,Hydro unspecified,Production,8411000.000
2021-01-13,NO5,Other unspecified,Combined,0.000
2021-01-13,NO5,Solar unspecified,Combined,6624.000
2021-01-13,NO5,Thermal unspecified,Production,297000.000
2021-01-14,NO1,Hydro unspecified,Combined,404.000
2021-01-14,NO1,Hydro unspecified,Production,18900632.000
2021-01-14,NO1,Other unspecified,Combined,16.000
2021-01-14,NO1,Other unspecified,Production,850.000
2021-01-14,NO1,Solar unspecified,Combined,51675.000
2021-01-14,NO1,Solar unspecified,Production,2198.000
2021-01-14,NO1,Thermal unspecified,Production,66980.000
2021-01-14,NO1,Wind unspecified,Production,172000.000
2021-01-14,NO2,Hydro unspecified,Combined,723.000
2021-01-14,NO2,Hydro unspecified,Production,12482091.000
2021-01-14,NO2,Other unspecified,Combined,879.000
